parameter_code,category,entity,current_code_value,unit,source_value_or_range,source_status,source_type,value_match_to_source,source_reference,source_url,formula_or_derivation,notes,enzyme,reaction_id,substrate,value_error,error_unit,model_usage,original_file,record_id,name_zh,meaning_zh,evidence_grade,v9_value,v9_unit,v9_input_mode,v9_active,v9_model_usage,etot_scan_scope,scan_method,scan_values,scan_unit,baseline_capacity,capacity_unit,capacity_formula,v9_change,v9_validation_source,report_note_zh
Km.DXS_PYR,Km,DXS_PYR,0.0011,mM,0.0011,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,"BRENDA literature summary for EC 2.2.1.7, Brammer & Meyers 2009",https://www.brenda-enzymes.org/literature.php?e=2.2.1.7&r=706051,,Updated in V5 to match uploaded xlsx/BRENDA value exactly.,DXS,DXS_T7_het,PYR,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P001,DXS 對丙酮酸的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.0011,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,"BRENDA literature summary for EC 2.2.1.7, Brammer & Meyers 2009",Updated in V5 to match uploaded xlsx/BRENDA value exactly.
Km.DXS_GAP,Km,DXS_GAP,0.226,mM,0.226,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,"BRENDA literature summary for EC 2.2.1.7, Brammer & Meyers 2009",https://www.brenda-enzymes.org/literature.php?e=2.2.1.7&r=706051,,,DXS,DXS_T7_het,GAP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P002,DXS 對 GAP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.226,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,"BRENDA literature summary for EC 2.2.1.7, Brammer & Meyers 2009",
Km.DXR_DXP,Km,DXR_DXP,0.0031,mM,0.0031,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,"BRENDA literature summary for EC 1.1.1.267, Wong & Cox 2007",https://www.brenda-enzymes.org/literature.php?e=1.1.1.267&r=684434,,,DXR,,DXP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P003,DXR 對 DXP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.0031,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,"BRENDA literature summary for EC 1.1.1.267, Wong & Cox 2007",
Km.IspD_MEP,Km,IspD_MEP,0.00314,mM,0.00314,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,BRENDA literature summary for EC 2.7.7.60,https://www.brenda-enzymes.org/literature.php?e=2.7.7.60&r=393244,,,IspD,,MEP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P004,IspD 對 MEP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.00314,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,BRENDA literature summary for EC 2.7.7.60,
Km.IspE_CDPME,Km,IspE_CDPME,0.2,mM,0.2,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,BRENDA literature summary for EC 2.7.1.148,https://www.brenda-enzymes.org/literature.php?e=2.7.1.148&r=721831,,,IspE,,CDPME,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P005,IspE 對 CDP-ME 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.2,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,BRENDA literature summary for EC 2.7.1.148,
Km.IspF_CDPMEP,Km,IspF_CDPMEP,0.41,mM,0.41,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,BRENDA literature summary for EC 4.6.1.12,https://www.brenda-enzymes.org/literature.php?e=4.6.1.12&r=708124,,,IspF,,CDPMEP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P006,IspF 對 CDP-MEP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.41,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,BRENDA literature summary for EC 4.6.1.12,
Km.IspG_MEcPP,Km,IspG_MEcPP,0.7,mM,0.7,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,BRENDA literature summary for EC 1.17.7.3,https://www.brenda-enzymes.org/literature.php?e=1.17.7.3&r=675579,,,IspG,,MEcPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P007,IspG 對 MEcPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.7,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,BRENDA literature summary for EC 1.17.7.3,
Km.IspH_HMBPP,Km,IspH_HMBPP,0.03,mM,0.03,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,BRENDA literature summary for EC 1.17.7.4,https://www.brenda-enzymes.org/literature.php?e=1.17.7.4&r=661928,,,IspH,,HMBPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P008,IspH 對 HMBPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.03,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,BRENDA literature summary for EC 1.17.7.4,
Km.IDI_IPP,Km,IDI_IPP,0.0035,mM,0.0035,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,"BRENDA literature summary for EC 5.3.3.2, wild-type",https://www.brenda-enzymes.org/literature.php?e=5.3.3.2&r=650979,,,IDI,IDI_T7_IPP_to_DMAPP_het;IDI_T7_DMAPP_to_IPP_het,IPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P009,IDI 對 IPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.0035,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,"BRENDA literature summary for EC 5.3.3.2, wild-type",
Km.IDI_DMAPP,Km,IDI_DMAPP,0.0035,mM,set equal to Km.IDI_IPP,placeholder,model_assumption,not_applicable,Assumed equal to Km.IDI_IPP,,,No direct source in uploaded xlsx; code simplification for reversible IDI kinetics.,IDI,IDI_T7_IPP_to_DMAPP_het;IDI_T7_DMAPP_to_IPP_het,DMAPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,model assumption derived from Km.xlsx,P010,IDI 對 DMAPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,D,0.0035,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,Assumed equal to Km.IDI_IPP,No direct source in uploaded xlsx; code simplification for reversible IDI kinetics.
